id,imps
35057,150
35054,30
35055,30
35052,30
35053,150
35050,60
35051,7
55128,150
55129,150
55120,30
55121,150
55122,60
55123,30
55124,150
55125,150
55127,150
59205,30
59204,150
59207,100
59206,100
59201,7
59200,30
27008,60
27009,150
27006,30
27007,150
27004,30
27005,30
27002,150
27003,7
27001,60
74051,60
74050,100
74053,100
74052,60
74055,150
74054,60
74057,7
74056,30
74059,30
74058,150
68147,60
81-08,150
51357,100
19-14,150
85261,150
51355,150
32057,100
32056,150
32055,150
32054,150
32053,150
32052,150
32051,150
32050,150
19-11,150
32059,150
32058,150
51351,150
19-12,150
23263,150
83098,30
26067,150
26066,150
26065,30
26064,30
26063,150
26062,150
26061,60
26060,150
70232,150
26069,150
26068,150
91363,30
01068,150
01069,150
64370,60
01060,150
01061,30
01062,30
01063,60
01064,150
01065,100
01066,150
01067,150
64372,150
64375,150
64374,30
57430,60
57431,60
57432,60
57433,30
57434,150
64377,60
57436,150
57437,100
57438,150
57439,100
64376,30
14668,150
14669,150
14660,100
14661,150
14662,150
14663,30
14664,150
14665,150
14666,150
14667,150
67087,60
83092,150
81086,150
47219,150
47218,100
83091,30
80528,150
71571,150
71570,150
71573,150
71572,60
71574,100
71577,150
47214,150
71579,150
71578,150
47217,150
47216,150
47211,150
47210,150
80522,150
15139,150
15138,150
47213,150
80523,30
15133,150
15132,150
15131,150
15130,100
15137,150
15136,150
15135,150
15134,150
39559,150
39558,60
39553,150
39552,60
39551,150
39550,60
39557,150
39556,150
39555,150
39554,60
78118,7
78117,7
78113,30
34046,150
34047,30
34044,60
34045,30
34042,60
34043,30
34040,150
34041,30
72211,150
72210,150
72213,30
72212,150
72215,100
72214,150
34048,30
34049,150
67084,150
31492,60
31493,150
31490,30
31491,150
31496,60
31497,7
31494,150
31495,100
31498,150
31499,30
47251,150
47250,150
47253,150
47252,60
47255,150
47254,150
47257,100
47256,150
47259,150
47258,150
88298,100
88299,60
88290,100
88291,150
88292,60
88293,150
88294,30
88295,60
88296,150
88297,60
2A144,150
2A146,150
2A141,150
2A142,150
77069,60
77068,150
86269,150
86268,100
77061,7
77060,150
77063,100
77062,7
77065,60
86262,150
77067,30
77066,60
49-10,150
49-11,150
49-13,150
49-14,150
49-15,150
49-16,150
49-17,150
49-18,150
49-19,150
71362,30
71363,150
71369,30
80148,100
80149,100
80140,60
80141,30
80142,150
80143,150
80144,60
80145,150
80146,100
80147,100
10354,150
10355,60
10356,150
10357,100
10350,150
10351,30
10352,30
10353,150
10358,150
10359,150
70309,150
70308,150
70301,150
70303,150
70302,150
70305,60
70304,30
70307,150
70306,30
45341,150
45340,150
45343,30
45342,100
45345,30
45344,60
45347,30
45346,150
45348,30
73224,150
40269,60
40268,60
40261,30
40260,150
40263,150
40262,150
40265,150
40264,30
40267,150
40266,150
14303,30
14302,150
14301,60
14300,150
14307,30
14306,150
14305,150
14304,30
14309,150
14308,150
2B328,150
2B329,100
2B320,150
2B321,150
2B327,150
63349,150
63348,150
71096,150
78588,60
78586,7
63347,100
63346,150
82179,150
82178,100
82173,100
82172,150
82171,60
82170,60
82177,150
82176,150
82175,60
82174,60
66142,150
79049,30
66143,150
19263,150
19262,150
19261,150
19260,150
19266,100
19265,150
19264,150
19269,150
19268,150
34-11,150
34-12,150
34-14,150
46083,150
46082,150
46081,150
46080,150
46087,150
46086,150
46085,150
46084,150
49055,30
49054,150
49057,150
46088,150
49051,100
49050,30
49053,60
49052,150
55155,150
43109,150
43108,150
57230,60
57231,60
57236,150
57237,150
57234,7
57235,60
43101,150
43100,150
43103,150
43102,60
43105,100
43104,150
43107,150
43106,150
17148,150
17149,150
17145,60
17146,100
17147,100
17140,150
17141,100
17142,60
17143,7
60429,60
60428,100
60421,30
60420,60
60423,30
60422,30
60425,150
60424,60
60427,150
60426,150
64216,100
64217,30
64214,150
64215,150
64212,60
64213,30
64210,150
64211,100
64218,150
64219,150
21369,150
21368,60
80463,30
79040,150
80461,100
80460,150
80467,60
80466,150
80465,150
80464,100
80469,150
80468,30
