id,postcode,name,density,x,y
85013,85130,Bazoges-en-Paillers,108,-1.14,46.92
85014,85390,Bazoges-en-Pareds,35,-0.91,46.66
85015,85170,Beaufou,44,-1.52,46.82
85016,85190,Beaulieu-sous-la-Roche,82,-1.62,46.69
85017,85500,Beaurepaire,93,-1.10,46.90
85018,85230,Beauvoir-sur-Mer,112,-2.06,46.91
85019,85170,Belleville-sur-Vie,254,-1.43,46.78
85020,85490,Benet,77,-0.61,46.37
85021,85610,La Bernardière,121,-1.27,47.04
85022,85560,Le Bernard,42,-1.44,46.45
85023,85320,Bessay,39,-1.17,46.54
85024,85710,Bois-de-Céné,43,-1.90,46.95
85025,85600,La Boissière-de-Montaigu,76,-1.19,46.95
85026,85430,La Boissière-des-Landes,55,-1.44,46.56
85027,85600,Boufféré,186,-1.34,46.96
85028,85420,Bouillé-Courdault,51,-0.68,46.38
85029,85230,Bouin,42,-2.00,46.98
85030,85140,Boulogne,65,-1.30,46.79
85031,85510,Le Boupère,71,-0.93,46.79
85033,85200,Bourneau,47,-0.81,46.55
85034,85480,Bournezeau,53,-1.14,46.63
85035,85470,Bretignolles-sur-Mer,156,-1.86,46.64
85036,85320,La Bretonnière-la-Claye,37,-1.27,46.49
85037,85120,Breuil-Barret,45,-0.67,46.65
85038,85260,Les Brouzils,65,-1.33,46.89
85039,85530,La Bruffière,94,-1.18,47.01
85040,85410,La Caillère-Saint-Hilaire,72,-0.93,46.63
85041,85410,Cezais,25,-0.80,46.59
85042,85450,Chaillé-les-Marais,48,-1.01,46.39
85043,85310,Chaillé-sous-les-Ormeaux,74,-1.37,46.56
85044,85200,Chaix,60,-0.86,46.42
85045,85220,La Chaize-Giraud,365,-1.82,46.65
85046,85310,La Chaize-le-Vicomte,71,-1.29,46.67
85047,85300,Challans,295,-1.84,46.84
85048,85500,Chambretaud,94,-0.97,46.92
85049,85450,Champagné-les-Marais,35,-1.13,46.37
85050,85540,Le Champ-Saint-Père,72,-1.34,46.52
85051,85110,Chantonnay,100,-1.04,46.67
85052,85150,La Chapelle-Achard,86,-1.66,46.59
85053,85120,La Chapelle-aux-Lys,24,-0.64,46.62
85054,85220,La Chapelle-Hermier,50,-1.72,46.68
85055,85670,La Chapelle-Palluau,71,-1.62,46.79
85056,85210,La Chapelle-Thémer,24,-0.96,46.56
85058,85400,Chasnais,64,-1.24,46.45
85059,85120,La Châtaigneraie,335,-0.74,46.64
85060,85180,Château-d'Olonne,429,-1.72,46.49
85061,85320,Château-Guibert,43,-1.26,46.57
85062,85710,Châteauneuf,59,-1.93,46.92
85063,85700,Les Châtelliers-Châteaumur,39,-0.84,46.87
85064,85140,Chauché,57,-1.27,46.83
85065,85250,Chavagnes-en-Paillers,85,-1.24,46.89
85066,85390,Chavagnes-les-Redoux,60,-0.92,46.71
85067,85390,Cheffois,53,-0.78,46.68
85069,85430,Les Clouzeaux,98,-1.49,46.63
85070,85220,Coëx,79,-1.76,46.71
85071,85220,Commequiers,78,-1.83,46.77
85072,85260,La Copechagnière,97,-1.34,46.85
85073,85320,Corpe,58,-1.17,46.51
85074,85320,La Couture,30,-1.26,46.52
85076,85610,Cugand,248,-1.25,47.06
85077,85540,Curzon,79,-1.30,46.45
85078,85420,Damvix,66,-0.74,46.32
85080,85200,Doix,70,-0.81,46.39
85081,85170,Dompierre-sur-Yon,122,-1.37,46.76
85082,85590,Les Epesses,87,-0.90,46.89
85083,85740,L'Épine,188,-2.26,46.98
85084,85140,Les Essarts,92,-1.23,46.78
85086,85670,Falleron,53,-1.70,46.86
85087,85240,Faymoreau,20,-0.62,46.54
85088,85800,Le Fenouiller,246,-1.89,46.72
85089,85280,La Ferrière,104,-1.33,46.72
85090,85700,La Flocellière,88,-0.85,46.82
85091,85200,Fontaines,75,-0.81,46.42
85092,85200,Fontenay-le-Comte,412,-0.79,46.46
85093,85480,Fougeré,43,-1.24,46.66
85094,85240,Foussais-Payré,34,-0.69,46.52
85095,85300,Froidfond,78,-1.76,46.88
85096,85710,La Garnache,78,-1.82,46.90
85097,85130,La Gaubretière,98,-1.06,46.93
85098,85190,La Génétouze,135,-1.50,46.73
85099,85150,Le Girouard,38,-1.59,46.57
85100,85800,Givrand,172,-1.88,46.68
85101,85540,Le Givre,36,-1.40,46.47
85102,85670,Grand'Landes,28,-1.64,46.85
85103,85440,Grosbreuil,59,-1.61,46.54
85104,85580,Grues,18,-1.32,46.38
85105,85770,Le Gué-de-Velluire,44,-0.91,46.37
85106,85680,La Guérinière,183,-2.23,46.97
85107,85600,La Guyonnière,120,-1.26,46.97
85108,85260,L'Herbergement,173,-1.37,46.92
85109,85500,Les Herbiers,177,-1.02,46.87
85110,85570,L'Hermenault,75,-0.90,46.52
85111,85770,L'Île-d'Elle,78,-0.92,46.33
85112,85340,L'Île-d'Olonne,146,-1.77,46.57
85113,85350,L'Île-d'Yeu,196,-2.35,46.71
85114,85520,Jard-sur-Mer,159,-1.60,46.42
85115,85110,La Jaudonnière,74,-0.96,46.65
85116,85540,La Jonchère,35,-1.38,46.44
85117,85400,Lairoux,46,-1.27,46.45
85118,85150,Landeronde,125,-1.57,46.66
85119,85130,Les Landes-Genusson,72,-1.13,46.97
85120,85220,Landevieille,97,-1.79,46.64
85121,85370,Le Langon,48,-0.95,46.44
85123,85420,Liez,31,-0.71,46.37
85125,85120,Loge-Fougereuse,36,-0.69,46.62
85126,85200,Longèves,109,-0.86,46.47
85127,85560,Longeville-sur-Mer,64,-1.48,46.41
85128,85400,Luçon,299,-1.16,46.45
85129,85170,Les Lucs-sur-Boulogne,62,-1.48,46.85
85130,85190,Maché,72,-1.70,46.77
85131,85400,Les Magnils-Reigniers,86,-1.21,46.46
85132,85420,Maillé,43,-0.79,46.34
85133,85420,Maillezais,48,-0.75,46.36
85134,85590,Mallièvre,1240,-0.86,46.91
85135,85320,Mareuil-sur-Lay-Dissais,109,-1.23,46.53
85136,85240,Marillet,26,-0.63,46.57
85137,85570,Marsais-Sainte-Radégonde,36,-0.87,46.54
85138,85150,Martinet,53,-1.68,46.66
85139,85420,Le Mazeau,54,-0.67,46.33
85140,85700,La Meilleraie-Tillay,78,-0.85,46.74
85141,85700,Menomblet,29,-0.73,46.73
85142,85140,La Merlatière,66,-1.30,46.76
85143,85200,Mervent,48,-0.75,46.53
85144,85500,Mesnard-la-Barotière,110,-1.11,46.85
85145,85110,Monsireigne,46,-0.93,46.74
85146,85600,Montaigu,1683,-1.31,46.98
85147,85700,Montournais,59,-0.77,46.75
85148,85200,Montreuil,66,-0.84,46.40
85149,85450,Moreilles,19,-1.09,46.42
85150,85260,Mormaison,68,-1.46,46.90
85151,85290,Mortagne-sur-Sèvre,273,-0.95,46.99
85152,85150,La Mothe-Achard,324,-1.65,46.62
85153,85640,Mouchamps,51,-1.05,46.79
85154,85390,Mouilleron-en-Pareds,68,-0.85,46.66
85155,85000,Mouilleron-le-Captif,243,-1.46,46.71
85156,85540,Moutiers-les-Mauxfaits,216,-1.44,46.49
85157,85320,Moutiers-sur-le-Lay,39,-1.17,46.57
85158,85370,Mouzeuil-Saint-Martin,46,-0.98,46.46
85159,85370,Nalliers,68,-1.04,46.47
85160,85310,Nesmy,112,-1.41,46.59
85161,85430,Nieul-le-Dolent,86,-1.52,46.57
85162,85240,Nieul-sur-l'Autise,56,-0.67,46.43
85163,85330,Noirmoutier-en-l'Île,232,-2.26,47.01
85164,85690,Notre-Dame-de-Monts,95,-2.11,46.84
85165,85140,L'Oie,83,-1.12,46.78
85166,85340,Olonne-sur-Mer,309,-1.79,46.54
85167,85200,L'Orbrie,84,-0.77,46.50
85168,85420,Oulmes,83,-0.66,46.39
85169,85670,Palluau,146,-1.60,46.81
85171,85320,Péault,60,-1.23,46.50
85172,85300,Le Perrier,56,-1.98,46.82
85174,85570,Petosse,40,-0.91,46.48
85175,85320,Les Pineaux,35,-1.18,46.60
85176,85200,Pissotte,98,-0.81,46.50
85177,85770,Le Poiré-sur-Velluire,38,-0.91,46.42
