id,empty
01-01,11.3
01-02,5.5
01-03,9.0
01-04,8.2
01-07,6.2
01-08,5.8
01-09,7.8
01-10,9.9
01-11,10.0
01-12,3.9
01-14,9.3
01-16,9.5
01-17,7.7
01-18,8.3
01-20,6.5
01-22,3.3
01-23,6.5
01001,3.9
01002,5.7
01004,7.8
01005,3.7
01006,7.1
01007,7.7
01008,5.5
01009,6.1
01010,12.7
01011,8.6
01012,13.8
01013,11.3
01014,7.3
01015,9.6
01016,8.6
01017,16.8
01019,10.7
01021,3.0
01022,16.1
01023,16.9
01024,4.6
01025,3.4
01026,8.6
01027,4.4
01028,4.1
01029,8.2
01030,8.7
01031,8.7
01032,3.8
01033,10.4
01034,12.1
01035,6.8
01036,8.8
01037,11.4
01038,6.2
01039,8.7
01040,5.0
01041,9.9
01042,1.9
01043,5.8
01044,5.8
01045,0.0
01046,6.9
01047,6.9
01049,7.2
01050,0.0
01051,11.1
01052,6.3
01053,10.6
01054,3.5
01056,13.1
01057,5.1
01058,5.6
01059,14.7
01060,9.6
01061,3.9
01062,3.8
01063,7.8
01064,5.7
01065,4.5
01066,2.1
01067,4.7
01068,14.3
01069,3.9
01071,7.9
01072,6.5
01073,5.1
01074,3.4
01075,3.7
01076,16.9
01077,12.4
01078,5.9
01079,11.8
01080,8.7
01081,9.0
01082,10.5
01083,4.6
01084,5.2
01085,9.4
01087,15.2
01088,2.1
01089,4.3
01090,3.9
01091,6.6
01092,6.2
01093,7.3
01094,11.7
01095,10.0
01096,6.5
01097,8.4
01098,5.8
01099,6.3
01100,14.6
01101,10.2
01102,5.7
01103,6.4
01104,13.2
01105,2.8
01106,7.6
01107,11.5
01108,13.4
01109,9.6
01110,10.8
01111,14.5
01112,4.2
01113,6.4
01114,5.5
01115,4.8
01116,9.2
01117,2.9
01118,12.7
01119,12.5
01121,6.0
01122,9.5
01123,5.7
01124,10.9
01125,12.9
01127,6.7
01128,8.9
01129,3.6
01130,5.4
01133,8.8
01134,5.1
01135,6.5
01136,7.0
01138,9.0
01139,10.4
01140,4.8
01141,2.6
01142,5.1
01143,5.7
01144,5.2
01145,4.6
01146,5.7
01147,8.8
01148,13.3
01149,5.2
01150,14.5
01151,6.3
01152,10.4
01153,5.9
01154,7.5
01155,3.2
01156,3.7
01157,5.8
01158,9.3
01159,4.8
01160,4.4
01162,12.1
01163,4.8
01165,2.6
01166,3.7
01167,3.7
01169,3.6
01170,4.2
01171,3.5
01172,9.7
01173,7.2
01174,2.3
01175,4.9
01176,12.4
01177,10.3
01179,2.7
01180,6.0
01181,2.6
01182,2.2
01183,6.7
01184,6.2
01185,11.7
01186,13.2
01187,9.3
01188,2.6
01189,10.8
01190,7.5
01191,14.9
01192,5.4
01193,9.3
01194,5.1
01195,6.4
01196,5.5
01197,6.6
01198,10.2
01199,10.7
01200,8.2
01202,6.4
01203,5.4
01204,9.4
01205,6.1
01206,9.9
01207,5.9
01208,10.4
01209,10.6
01210,3.1
01211,6.5
01212,9.8
01213,6.3
01214,4.4
01215,2.5
01216,16.3
01218,5.4
01219,14.9
01221,10.3
01224,4.9
01225,1.3
01227,9.4
01228,12.0
01229,7.6
01230,7.0
01231,5.5
01232,5.9
01233,11.7
01234,9.9
01235,7.1
01236,8.1
01237,7.5
01238,3.6
01239,4.4
01240,8.2
01241,5.0
01242,22.6
01243,3.7
01244,6.3
01245,6.8
01246,7.0
01247,2.8
01248,3.0
01249,5.8
01250,2.4
01252,4.9
01254,4.6
01255,10.7
01257,9.0
01258,3.3
01259,5.0
01260,5.7
01261,2.1
01262,6.4
01263,4.8
01264,3.5
01265,9.3
01266,7.0
01267,4.2
01268,7.0
01269,14.7
01271,10.6
01272,12.1
01273,8.2
01274,9.5
01275,3.2
01276,4.8
01277,15.7
01279,6.1
01280,9.4
01281,4.1
01282,17.9
01283,13.2
01284,8.4
01285,4.4
01286,7.9
01288,6.2
01289,5.7
01290,6.8
01291,5.4
01292,6.0
01293,7.9
01294,7.3
01295,5.3
01296,6.2
01297,3.0
01298,7.5
01299,6.5
01300,3.5
01301,6.4
01302,15.7
01303,15.8
01304,11.9
01305,12.1
01306,9.2
01307,6.1
01308,6.8
01309,7.8
01310,8.5
01311,0.0
01312,10.2
01313,4.4
01314,7.5
01316,1.1
01317,4.4
01318,2.2
01319,2.5
01320,4.5
01321,2.8
01322,4.0
01323,7.2
01325,3.9
01328,7.8
01329,13.7
01330,7.6
01331,5.5
01332,4.1
01333,3.2
01334,6.1
01335,3.3
01336,3.1
01337,4.7
01338,7.5
01339,4.4
01340,13.1
01341,13.5
01342,2.0
01343,5.6
01344,3.5
01345,8.8
01346,9.2
01347,3.9
01348,5.6
01349,2.7
01350,5.4
01351,8.0
01352,2.8
01353,2.7
01354,2.6
01355,11.0
01356,5.5
01357,17.9
01358,5.5
01359,5.6
01360,6.9
01361,1.5
01362,2.8
01363,9.2
01364,9.1
01365,5.8
01366,6.4
01367,14.0
01368,5.1
01369,3.2
01370,10.6
01371,14.8
01372,11.1
01373,9.2
01374,11.3
01375,4.0
01376,4.6
01378,4.4
01379,7.6
01380,7.2
01381,8.2
01382,2.5
01383,5.0
01384,13.5
01385,7.3
01386,5.1
01387,4.5
01388,8.8
01389,8.8
01390,7.5
01391,5.6
01392,2.9
01393,4.4
01396,9.8
01397,2.1
01398,4.9
01399,6.6
01400,8.5
01401,3.5
01402,9.1
01403,7.7
01404,14.2
01405,6.9
01406,12.8
01407,12.5
01408,10.9
01409,7.5
01410,7.4
01411,8.7
01412,7.2
01413,11.4
01414,13.1
01415,6.2
01416,24.6
01417,5.9
01418,2.1
01419,4.1
01420,16.5
01421,11.0
01422,4.2
01423,1.7
01424,1.2
01425,5.3
01426,10.0
01427,7.3
01428,9.2
01429,4.0
01430,5.1
01431,9.7
01432,3.3
01433,9.8
01434,5.2
01435,3.5
01436,7.8
01437,3.1
01439,0.0
01441,10.3
01442,9.2
01443,5.3
01444,10.5
01445,6.7
01446,4.5
01447,11.7
01448,8.1
01449,6.7
01450,5.4
01451,4.6
01452,14.0
01453,8.2
01454,8.4
01456,8.6
01457,6.8
02-01,6.5
02-02,7.3
02-03,7.1
02-04,8.3
02-05,6.9
02-06,6.8
02-07,8.9
02-08,8.0
02-09,3.7
02-10,5.9
02-11,7.7
02-12,7.5
02-13,5.9
02-14,6.6
02-15,6.0
02-16,6.9
02-17,7.7
02-18,7.8
02-19,8.2
02-20,7.4
02-21,8.0
02001,4.0
02002,5.8
02003,6.1
02004,5.8
02005,2.0
02006,8.4
02007,8.9
02008,3.9
02009,7.6
02010,7.1
02011,5.7
02012,9.2
02013,7.0
02014,8.3
02015,10.7
02016,4.2
02017,12.0
02018,8.2
02019,7.1
02020,6.3
02021,2.2
02022,6.2
02023,8.4
02024,3.5
02025,10.3
02026,6.4
02027,7.3
02028,4.0
02029,6.5
02030,6.5
02031,13.9
02032,13.2
02033,5.3
02034,11.1
02035,10.4
02036,10.3
02037,5.6
02038,5.3
02039,7.7
02040,6.2
02041,7.2
02042,3.2
02043,8.3
02044,9.1
02046,6.3
02047,2.0
02048,6.8
02049,4.6
02050,3.5
02051,12.6
02052,6.4
02053,14.5
02054,2.7
02055,6.6
02056,8.9
02057,9.2
02058,11.6
02059,7.4
