id,impsp
62126,1968
62127,285
28409,468
28408,1602
62122,263
62123,963
62120,1249
62121,596
28403,2339
28402,887
28401,534
28400,80
28407,105
28406,194
28405,2590
28404,2590
34329,896
34328,2057
34327,2577
34326,72
34325,1448
34324,896
34323,2919
34322,1385
34321,2914
34320,1776
35058,583
35059,3527
35056,1582
35057,427
35054,2184
35055,3564
35052,5487
35053,378
35050,1582
35051,30762
55128,16
55129,16
55120,4409
55121,54
55122,1126
55123,4409
55124,83
55125,255
55127,16
59205,1684
59204,180
59207,537
59206,785
59201,6995
59200,1623
27008,918
27009,201
27006,3721
27007,8
27004,2249
27005,1991
27002,109
27003,6561
27001,1122
74051,1499
74050,550
74053,622
74052,1499
74055,354
74054,1467
74057,7489
74056,1854
74059,5173
74058,79
68147,964
81-08,150
51357,738
19-14,150
85261,310
51355,187
32057,534
32056,87
32055,36
32054,23
32053,90
32052,46
32051,253
32050,88
19-11,150
32059,53
32058,79
51351,115
19-12,150
23263,95
83098,1968
26067,2
26066,280
26065,2031
26064,3707
26063,177
26062,27
26061,1349
26060,11
70232,101
26069,246
26068,67
91363,2420
01068,179
01069,288
64370,1029
01060,217
01061,2549
01062,1773
01063,986
01064,225
01065,622
01066,217
01067,157
64372,64
64375,358
64374,5655
57430,1149
57431,1482
57432,1482
57433,3380
57434,35
64377,1313
57436,124
57437,503
57438,414
57439,503
64376,3565
14668,249
14669,469
14660,647
14661,365
14662,23
14663,5637
14664,342
14665,24
14666,126
14667,249
67087,1544
83092,221
81086,56
47219,105
47218,646
83091,3261
80528,227
71571,47
71570,129
71573,250
71572,1033
71574,776
71577,168
47214,226
71579,302
71578,153
47217,152
47216,70
47211,75
47210,256
80522,206
15139,13
15138,137
47213,91
80523,2428
15133,148
15132,25
15131,34
15130,798
15137,13
15136,14
15135,41
15134,51
39559,184
39558,1427
39553,241
39552,1427
39551,296
39550,1427
39557,123
39556,180
39555,210
39554,1403
78118,16708
78117,6863
78113,4066
34046,13
34047,2057
34044,1405
34045,2919
34042,951
34043,2898
34040,27
34041,2919
72211,248
72210,242
72213,2579
72212,451
72215,529
72214,231
34048,2898
34049,139
67084,184
31492,1211
31493,135
31490,2102
31491,93
31496,885
31497,14757
31494,142
31495,520
31498,135
31499,5279
47251,226
47250,226
47253,205
47252,992
47255,152
47254,284
47257,514
47256,105
47259,108
47258,75
88298,653
88299,857
88290,527
88291,38
88292,857
88293,40
88294,2478
88295,857
88296,364
88297,1065
2A144,0
2A146,0
2A141,0
2A142,27
77069,1034
77068,491
86269,110
86268,786
77061,6251
77060,488
77063,724
77062,19370
77065,1034
86262,274
77067,5934
77066,1128
49-10,150
49-11,150
49-13,150
49-14,150
49-15,150
49-16,150
49-17,150
